,,"Median House Prices, 2014"
E09000001,City of London,
E09000002,Barking and Dagenham,"215,000"
E09000003,Barnet,"400,000"
E09000004,Bexley,"250,000"
E09000005,Brent,"377,000"
E09000006,Bromley,"335,000"
E09000007,Camden,"665,000"
E09000008,Croydon,"265,000"
E09000009,Ealing,"385,000"
E09000010,Enfield,"282,000"
E09000011,Greenwich,"315,000"
E09000012,Hackney,"430,000"
E09000013,Hammersmith and Fulham,"642,000"
E09000014,Haringey,"405,000"
E09000015,Harrow,"369,000"
E09000016,Havering,"250,000"
E09000017,Hillingdon,"302,000"
E09000018,Hounslow,"317,000"
E09000019,Islington,"529,000"
E09000020,Kensington and Chelsea,"1,198,000"
E09000021,Kingston upon Thames,"385,000"
E09000022,Lambeth,"420,000"
E09000023,Lewisham,"315,000"
E09000024,Merton,"385,000"
E09000025,Newham,"250,000"
E09000026,Redbridge,"300,000"
E09000027,Richmond upon Thames,"536,000"
E09000028,Southwark,"410,000"
E09000029,Sutton,"285,000"
E09000030,Tower Hamlets,"380,000"
E09000031,Waltham Forest,"320,000"
E09000032,Wandsworth,"533,000"
E09000033,Westminster,"857,000"
,England and Wales,"192,000"
,,
Source: Land registry price paid data. ,,